date,entity_id,primary_metric,secondary_metric,value_pool,quality_score,risk_score
2026-01-01,STO001,47.6,79.3,182884,64.3,28.4
2026-01-01,STO002,68.6,59.4,34758,88.6,40.8
2026-01-01,STO003,85.9,53.4,116598,72.7,20.9
2026-01-01,STO004,71.9,20.9,99726,98.8,67.9
2026-01-01,STO005,80.6,49.9,79320,72.1,88.4
2026-01-01,STO006,58.8,18.1,118311,93.8,26.5
2026-01-01,STO007,61.3,34.1,85657,97.0,26.1
2026-01-01,STO008,73.3,69.7,154620,68.4,12.7
2026-01-01,STO009,59.4,45.2,164568,70.1,62.1
2026-01-01,STO010,43.3,24.1,9487,70.0,74.9
2026-01-01,STO011,65.3,20.8,163007,86.9,65.2
2026-01-01,STO012,66.0,63.4,158319,62.0,79.3
2026-01-01,STO013,43.7,71.4,32754,87.2,24.2
2026-01-01,STO014,69.1,36.6,22714,72.6,73.2
2026-01-01,STO015,63.8,52.2,124126,81.7,77.8
2026-01-01,STO016,83.8,54.9,70694,93.9,53.8
2026-01-01,STO017,44.8,21.6,77976,84.9,90.3
2026-01-01,STO018,42.1,18.6,85532,88.4,54.1
2026-01-01,STO019,43.0,27.5,108003,67.3,20.2
2026-01-01,STO020,78.2,35.7,59735,96.9,27.1
2026-01-01,STO021,58.6,32.5,70582,88.7,78.8
2026-01-01,STO022,81.3,19.5,175096,79.8,54.4
2026-01-01,STO023,96.8,79.6,105928,90.0,67.4
2026-01-01,STO024,68.5,26.1,64005,67.0,12.9
2026-01-01,STO025,60.5,37.9,166025,65.6,35.7
2026-01-01,STO026,73.5,67.1,183785,65.4,89.9
2026-01-01,STO027,69.3,83.5,35121,73.5,84.6
2026-01-01,STO028,72.7,75.9,68026,63.7,53.4
2026-01-01,STO029,78.0,49.9,66888,77.2,11.5
2026-01-01,STO030,49.4,59.3,52627,71.6,50.4
2026-01-01,STO031,71.4,71.0,171071,79.3,37.7
2026-01-01,STO032,52.9,45.2,28631,89.9,68.6
2026-01-01,STO033,69.2,77.1,165203,62.9,80.1
2026-01-01,STO034,54.7,60.0,141068,93.7,25.6
2026-01-01,STO035,67.8,38.2,109445,91.1,19.5
2026-01-01,STO036,63.0,39.5,84877,67.8,13.2
2026-01-02,STO001,94.2,54.0,110858,62.3,64.5
2026-01-02,STO002,82.4,37.4,15386,68.5,48.2
2026-01-02,STO003,55.6,25.8,153423,81.0,55.3
2026-01-02,STO004,64.7,82.9,81133,66.2,70.2
