event_id,event_date,entity_id,event_type,severity,estimated_impact
EV0001,2026-01-01,STO001,qa_check,Medium,13013
EV0002,2026-01-02,STO031,experiment,Low,29319
EV0003,2026-01-03,STO008,stakeholder_request,Medium,37005
EV0004,2026-01-04,STO033,handoff,High,40068
EV0005,2026-01-05,STO034,exception,High,23885
EV0006,2026-01-06,STO023,handoff,Low,31030
EV0007,2026-01-07,STO019,experiment,High,17468
EV0008,2026-01-08,STO018,handoff,High,37107
EV0009,2026-01-09,STO006,launch,High,28078
EV0010,2026-01-10,STO007,qa_check,Low,31996
EV0011,2026-01-11,STO024,experiment,Low,42302
EV0012,2026-01-12,STO035,stakeholder_request,Medium,29686
EV0013,2026-01-13,STO006,qa_check,High,35967
EV0014,2026-01-14,STO034,exception,Medium,34658
EV0015,2026-01-15,STO015,stakeholder_request,Low,41837
EV0016,2026-01-16,STO009,exception,Low,46825
EV0017,2026-01-17,STO006,exception,Low,14523
EV0018,2026-01-18,STO029,launch,Low,18170
EV0019,2026-01-19,STO005,qa_check,Low,7614
EV0020,2026-01-20,STO008,exception,Medium,18617
EV0021,2026-01-21,STO034,stakeholder_request,Medium,45032
EV0022,2026-01-22,STO003,qa_check,High,44618
EV0023,2026-01-23,STO025,handoff,Low,47097
EV0024,2026-01-24,STO019,qa_check,Medium,36950
EV0025,2026-01-25,STO020,qa_check,Low,17316
EV0026,2026-01-26,STO009,experiment,High,4743
EV0027,2026-01-27,STO004,experiment,Medium,26393
EV0028,2026-01-28,STO016,handoff,Low,49719
EV0029,2026-01-29,STO011,experiment,Low,44950
EV0030,2026-01-30,STO025,launch,Medium,33154
EV0031,2026-01-31,STO019,handoff,Medium,36975
EV0032,2026-02-01,STO019,stakeholder_request,Medium,18553
EV0033,2026-02-02,STO013,handoff,High,4981
EV0034,2026-02-03,STO026,qa_check,Low,48050
EV0035,2026-02-04,STO035,stakeholder_request,Low,38394
EV0036,2026-02-05,STO022,experiment,Low,25026
EV0037,2026-02-06,STO026,launch,Low,4647
EV0038,2026-02-07,STO004,qa_check,High,11940
EV0039,2026-02-08,STO004,handoff,High,16003
EV0040,2026-02-09,STO019,handoff,Low,16384
EV0041,2026-02-10,STO034,exception,Medium,24095
EV0042,2026-02-11,STO007,handoff,Medium,37857
EV0043,2026-02-12,STO004,handoff,High,35676
EV0044,2026-02-13,STO033,stakeholder_request,Medium,14754
